Title,Description,Acceptance Criteria
HU-UC-001: Gestión de Perfil de Usuario,"Como usuario autenticado quiero gestionar mi perfil personal para mantener mi información actualizada y personalizar mi experiencia","- Dado que soy un usuario autenticado, cuando accedo a mi perfil, entonces puedo ver toda mi información personal
- Dado que edito mi perfil, cuando guardo los cambios, entonces la información se actualiza en toda la plataforma
- Dado que cambio mi foto de perfil, cuando la subo, entonces se refleja en mis publicaciones y comentarios
- Dado que configuro mi ubicación, cuando la geocodifico, entonces el sistema encuentra mi dirección exacta"
HU-UC-002: Gestión de Mascotas,"Como dueño de mascotas quiero crear y gestionar perfiles de mis mascotas para llevar un registro completo de su información","- Dado que agrego una mascota, cuando completo el formulario, entonces se crea un perfil completo con información de raza
- Dado que selecciono una raza, cuando el sistema la busca, entonces obtengo información detallada de características
- Dado que registro información de salud, cuando la guardo, entonces queda disponible para consultas futuras
- Dado que elimino una mascota, cuando confirmo, entonces se eliminan todos los datos relacionados"
HU-UC-003: Álbumes y Fotos,"Como usuario quiero crear álbumes de fotos de mis mascotas para preservar y compartir momentos especiales","- Dado que creo un álbum, cuando agrego fotos, entonces se organizan cronológicamente
- Dado que tomo fotos, cuando las valido, entonces el sistema verifica que contengan mascotas
- Dado que comparto un álbum, cuando lo publico, entonces aparece en el feed como publicación
- Dado que gestiono álbumes, cuando los edito, entonces puedo modificar título, descripción y fotos"
HU-UC-004: Feed Social y Publicaciones,"Como usuario quiero interactuar en el feed social para conectar con otros dueños de mascotas","- Dado que veo el feed, cuando se carga, entonces veo publicaciones intercaladas con promociones
- Dado que me gusta una publicación, cuando hago doble tap, entonces se registra el like con animación
- Dado que comento una publicación, cuando escribo, entonces puedo responder a otros comentarios
- Dado que sigo a un usuario, cuando interactúo, entonces veo un botón de seguir en sus publicaciones"
HU-UC-005: Tienda y Compras,"Como usuario quiero comprar productos para mascotas para satisfacer las necesidades de mis compañeros","- Dado que navego la tienda, cuando filtro productos, entonces veo solo los de la categoría seleccionada
- Dado que agrego al carrito, cuando confirmo, entonces el producto se guarda con la cantidad seleccionada
- Dado que realizo checkout, cuando pago, entonces se procesa con Mercado Pago y split automático
- Dado que completo la compra, cuando se confirma, entonces recibo confirmación y seguimiento"
HU-UC-006: Servicios y Reservas,"Como dueño de mascotas quiero reservar servicios profesionales para el cuidado de mis mascotas","- Dado que busco servicios, cuando filtro por categoría, entonces veo solo proveedores de ese tipo
- Dado que selecciono un servicio, cuando elijo fecha y hora, entonces veo solo horarios disponibles
- Dado que confirmo reserva, cuando se procesa, entonces se notifica al proveedor automáticamente
- Dado que califico un servicio, cuando termina, entonces puedo dejar reseña y calificación"
HU-UC-007: Lugares Pet-Friendly,"Como usuario quiero encontrar lugares que acepten mascotas para planificar salidas con mis compañeros","- Dado que busco lugares, cuando filtro por categoría, entonces veo solo lugares de ese tipo
- Dado que veo un lugar, cuando reviso detalles, entonces veo servicios específicos para mascotas
- Dado que contacto un lugar, cuando toco llamar, entonces se abre la aplicación de teléfono
- Dado que contribuyo un lugar, cuando lo envío, entonces queda pendiente de moderación"
HU-UC-008: Chat y Adopciones,"Como usuario interesado en adopción quiero comunicarme con refugios para encontrar una mascota","- Dado que veo una mascota en adopción, cuando inicio chat, entonces se crea conversación automáticamente
- Dado que chatea con refugio, cuando envío mensaje, entonces se notifica al refugio en tiempo real
- Dado que el refugio responde, cuando recibo mensaje, entonces se actualiza la conversación
- Dado que completo adopción, cuando se confirma, entonces se marca la mascota como adoptada"
HU-AP-001: Dashboard de Aliado,"Como aliado comercial quiero acceder a un dashboard centralizado para gestionar mi negocio eficientemente","- Dado que accedo al dashboard, cuando se carga, entonces veo métricas del día actual
- Dado que reviso estadísticas, cuando las consulto, entonces están actualizadas en tiempo real
- Dado que tengo múltiples negocios, cuando selecciono uno, entonces veo datos específicos de ese negocio
- Dado que hay notificaciones, cuando las reviso, entonces puedo actuar sobre reservas y pedidos pendientes"
HU-AP-002: Gestión de Servicios,"Como proveedor de servicios quiero gestionar mi catálogo de servicios para ofrecer opciones claras a los clientes","- Dado que agrego un servicio, cuando completo la información, entonces queda disponible para reservas
- Dado que configuro horarios, cuando los establezco, entonces los clientes solo ven horarios disponibles
- Dado que edito un servicio, cuando modifico precio o duración, entonces se actualiza para nuevas reservas
- Dado que desactivo un servicio, cuando lo hago, entonces ya no aparece en búsquedas públicas"
